title,subtitle,artist,img_link,year
The Virgin and Child,Oil on panel,"Christus, Petrus",https://content3.cdnprado.net/imagenes/Documentos/imgsem/6a/6a11/6a1137df-7750-40e6-9760-7dcd7b9fcacf/ce5db247-f9ff-4685-a3a0-5eeb72e0ca3d_268.jpg,1450
The Nativity Triptych,Tempera on panel,Master Of The Zarzoso Triptych,https://content3.cdnprado.net/imagenes/Documentos/imgsem/ae/ae5e/ae5ee635-aa13-4609-af42-3ae9febb6980/ab0ab974-a763-4e4a-86ff-d715d85b1deb_268.jpg,1450
Altarpiece of the Lives of the Virgin and Saint Francis,"Oil, Tempera on panel","Francés, Nicolás",https://content3.cdnprado.net/imagenes/Documentos/imgsem/84/84f4/84f4be5c-201b-49dc-a5ac-dbbf598aa96e/f91fbc09-e595-48fe-b8af-e3636a52acfd_268.jpg,1460
Saint Anthony Abbot,Tempera on panel,"Reixach, Joan",https://content3.cdnprado.net/imagenes/Documentos/imgsem/5d/5d65/5d65ff77-87b4-44fa-8da0-dad1415763c1/4da57850-2e81-468a-a636-9db34321d8f9_268.jpg,1460
A Prophet (fragment),Mixed method on panel,Master Of St. George And The Princess (Attributed To),https://content3.cdnprado.net/imagenes/Documentos/imgsem/9a/9a0e/9a0ecb85-6bee-4488-ab9d-975b33521723/c80f8bf7-872a-43f2-a388-2faf4b561176_268.jpg,1475
The Crucifixion,Mixed method on panel,"Sánchez, Juan",https://content3.cdnprado.net/imagenes/Documentos/imgsem/13/1359/1359feb4-a73d-4d15-ac79-2009b409d922/e7d138d0-b2bc-4278-a813-c772f4eb2747_268.jpg,1460
Saint James the Pilgrim,Oil on panel,"Baró, Bartomeu",https://content3.cdnprado.net/imagenes/Documentos/imgsem/b5/b501/b501632b-e994-4c79-bec4-136ecddf4890/8756038c-5129-433d-96d6-ec7db1096312_268.jpg,1465
The Death of the Virgin,Mixed method on panel,"Mantegna, Andrea",https://content3.cdnprado.net/imagenes/Documentos/imgsem/6e/6ebf/6ebfe544-41dd-44ac-a217-d7ba24fc0d48/994a1e6a-3073-42fd-8b14-489f0313c581_268.jpg,1462
The Adoration of the Magi,Oil on panel,Master Of The Prado Adoration Of The Magi,https://content3.cdnprado.net/imagenes/Documentos/imgsem/6f/6f4d/6f4d82ba-21b4-4dd9-97fa-2ca5af3a1a01/ad611796-e25e-4183-a749-fcf6d286afb0_268.jpg,1470
"Saint Vincent, Deacon and Martyr, with a Donor",Mixed method on panel,"Giner, Tomás",https://content3.cdnprado.net/imagenes/Documentos/imgsem/2c/2c97/2c97f694-f222-47c4-b60e-f65cd20dd7fa/5019c64a-07f5-4500-8b30-fe5b64f8162d_268.jpg,1466
Pietà,Mixed method on pine panel,"Gallego, Fernando",https://content3.cdnprado.net/imagenes/Documentos/imgsem/3d/3dde/3dde0001-e1c7-4595-a282-1e4dc9e40f35/18465b62-f8b4-4fd2-a740-8fb83e88b3af_268.jpg,1470
The Annunciation,Oil on panel,Master Of Sopetrán,https://content3.cdnprado.net/imagenes/Documentos/imgsem/a1/a1f4/a1f4b7a1-b596-4934-95ef-4433554ef1f0/119dc5e1-466c-453e-a458-7169d697eb04_268.jpg,1470
"Diego Hurtado de Mendoza y Figueroa, 1st Duke of Infantado",Oil on panel,Master Of Sopetrán,https://content3.cdnprado.net/imagenes/Documentos/imgsem/aa/aa20/aa20ff15-24bd-47cd-b90e-63948920e0a9/77e0b21f-da43-443a-8912-64ab2b3b1e9c_268.jpg,1470
The Nativity,Oil on panel,Master Of Sopetrán,https://content3.cdnprado.net/imagenes/Documentos/imgsem/57/578b/578b38be-fd64-4a67-b1eb-e3847ce90f9a/9d2b4839-b124-40a1-a2b6-77651d0cab6f_268.jpg,1470
The Death of the Virgin,Oil on panel,Master Of Sopetrán,https://content3.cdnprado.net/imagenes/Documentos/imgsem/98/988b/988b42fb-d197-4c55-bb6b-c7d5f48622bd/144b777f-2b40-4a18-8222-bf209a482068_268.jpg,1470
The Lamentation,Mixed method on panel,Anonymous,https://content3.cdnprado.net/imagenes/Documentos/imgsem/ab/ab18/ab18a392-24cd-470d-bb21-25d0163f7372/816128d7-b6a5-453b-9ac5-76c4062171e1_268.jpg,1470
Saint Sebastian speaking to Marcus and Marcellian and Saint Sebastian and...,Oil on panel,"García de Benabarre, Pedro",https://content.cdnprado.net/imagenes/Documentos/imgsem/07/0719/0719d982-abfe-40eb-836c-4285f218bd31/3d00457b-5ee8-40aa-a4b9-b18c93ea7178_268.jpg,1470
